ID,UTTERANCE,CORE RELATIONS
1675,list of all dutch movies,movie.country movie.language
1676,please give me a dutch movie listing,movie.country movie.language
1677,dutch movie listing,movie.country movie.language
1678,show me childrens movies,movie.genre
1679,movies tom cruise produced,movie.produced_by
1680,what movies did harry weinstein produce,movie.produced_by
1681,i want to look for movies produced by morgan freeman,movie.produced_by
1682,i would like to find movies produced by morgan freeman,movie.produced_by
1683,look for movies produced by morgan freeman,movie.produced_by
1684,search for movies produced by morgan freeman,movie.produced_by
1685,what movies are in bengali,movie.language
1686,meryl streep movies,movie.starring.actor
1687,movies frances ford copolla,movie.directed_by
1688,what movie did victor fleming direct,movie.directed_by
1689,movies from russia,movie.country
1690,search for films produced in russia,movie.country
1691,find movies produced in russia,movie.country
1692,find all details about star wars-a new hope movie,NO_REL
1693,show all details about star wars-a new hope movie,NO_REL
1694,get me information about the movie star wars four,NO_REL
1695,can you show me details about the movie star wars:episode four - a new hope,NO_REL
1696,give me detailed information about the movie star wars:episode four -a new hope,NO_REL
1697,i would like to get some information about the movie star wars:episode four -a new hope,NO_REL
1698,list star wars movie a new hope,NO_REL
1699,find info about star wars episode four,NO_REL
1700,get me info on star wars episode four,NO_REL
1701,get me star wars episode four details,NO_REL
1702,i want to see info about star wars four,NO_REL
1703,run a search for star wars four,NO_REL
1704,show me star wars four,NO_REL
1705,show me star wars four page,NO_REL
1706,star wars four,NO_REL
1707,take me to star wars four page,NO_REL
1708,where can i watch star wars four,NO_REL
1709,tell about star wars iv,NO_REL
1710,what is full name of star wars iv,NO_REL
1711,darth vader,movie.starring.character
1712,han solo,movie.starring.character
1713,i only want movies by sidney lumit,movie.directed_by
1714,movies with sally field,movie.starring.actor
1715,can you please open page about in july movie,NO_REL
1716,display details of in july movie,NO_REL
1717,exhibit details of in july movie,NO_REL
1718,in july movie page,NO_REL
1719,about movie in july,NO_REL
1720,find me the film in july,NO_REL
1721,show information for the movie title in july with moritz bleibtreu,movie.starring.actor
1722,give me details about the movie in july,NO_REL
1723,i want information about the movie in july,NO_REL
1724,i would like to get detailed information about the movie in july,NO_REL
1725,search the movie in july,NO_REL
1726,show data for the movie in july,NO_REL
1727,show me detailed information about the movie in july,NO_REL
1728,show me more details for the movie in july,NO_REL
1729,check movie in july information,NO_REL
1730,display information for the movie in july,NO_REL
1731,i want to see anne hathaway's latest movie,movie.starring.actor movie.initial_release_date
1732,show me anne hathaway's latest movie,movie.starring.actor movie.initial_release_date
1733,show me hathaway's recent movies,movie.starring.actor movie.initial_release_date
1734,what movies has jack black been in,movie.starring.actor
1735,angelina jolie movies,movie.starring.actor
1736,in which movies has angelina jolie starred,movie.starring.actor
1737,list of movies starring angelina jolie,movie.starring.actor
1738,movies with angelina jolie,movie.starring.actor
1739,show angelina jolie movies,movie.starring.actor
1740,show me all movies for angelina jolie,movie.starring.actor
1741,show movies with angelina jolie,movie.starring.actor
1742,what movies has angelina jolie been in,movie.starring.actor
1743,which movies has angelina jolie been in,movie.starring.actor
1744,list movies starring angelina jolie,movie.starring.actor
1745,list movies with angelina jolie in them,movie.starring.actor
1746,funny kids movies,movie.rating movie.genre
1747,movies about basketball,movie.subjects
1748,can you locate movies produced by clint eastwood,movie.produced_by
1749,can you show movies produced by clint eastwood,movie.produced_by
1750,find all movies produced by clint eastwood,movie.produced_by
1751,i am looking for movies produced by clint eastwood,movie.produced_by
1752,i need a list of movies produced by clint eastwood,movie.produced_by
1753,please find movies produced by clint eastwood,movie.produced_by
1754,will you provide a list of movies produced by clint eastwood,movie.produced_by
1755,i want to see more movies with katie holmes,movie.starring.actor
1756,find any movies about horses,movie.subjects
1757,what are some current movies with horses as the main topic of the movie,movie.subjects
1758,johnny depp movies,movie.starring.actor
1759,bring up black swan production,NO_REL
1760,all the movies of karan johar,movie.directed_by
1761,karan johar's movies,movie.directed_by
1762,find movies of karan johar,movie.directed_by
1763,movies of karan johar,movie.directed_by
1764,find director movies,movie.directed_by
1765,find a list of directors and their movies,movie.directed_by
1766,movies and who directed them,movie.directed_by
1767,bring up all director movies,movie.directed_by
1768,list director movies,movie.directed_by
1769,show movies directed by,movie.directed_by
1770,i want to look up information about the movie hotel transylvania,NO_REL
1771,will ferrell been in,movie.starring.actor
1772,what has will ferrell done,movie.starring.actor
1773,find movies about gambling,movie.subjects
1774,find movies about ice skating,movie.subjects
1775,generate a list of movies about ice skating,movie.subjects
1776,list ice skating movies please,movie.subjects
1777,are there any movies with ice skating,movie.subjects
1778,please show me movies about ice skating,movie.subjects
1779,search for movies about ice skating,movie.subjects
1780,are there any movies with skating on ice,movie.subjects
1781,find dreamworks movies for kids,movie.rating movie.production_companies
1782,where can i see a list of movies produced in great britain,movie.country
1783,taye diggs films,movie.starring.actor
1784,about house at the end of the street,NO_REL
1785,find me info on house at the end of the street,NO_REL
1786,house at the end of the street movie info,NO_REL
1787,i would like to see house at the end of the street information,NO_REL
1788,overview of house at the end of the street,NO_REL
1789,show me house at the end of the street,NO_REL
1790,show me the page about house at the end of the street,NO_REL
1791,get me info about the movie house at the end of the street,NO_REL
1792,show information for the movie house at the end of the street,NO_REL
1793,show me detailed information about the movie house at the end of the street,NO_REL
1794,show me more details for the movie house at the end of the street,NO_REL
1795,can you give me detailed information about the movie house at the end of the street,NO_REL
1796,dispaly info for movie house at the end of the street,NO_REL
1797,display overview of the movie house at the end of the street,NO_REL
1798,i need information about the cast reviews story etc in detail about the movie house at the end of the street,NO_REL
1799,send me movies that are in chinese,movie.language
1800,i want chinese language movies,movie.language
1801,show me movies in chinese,movie.language
1802,find all chinese language movies,movie.language
1803,look up movies in chinese,movie.language
1804,movies in chinese,movie.language
1805,show me movies produced by julian fellows,movie.produced_by
1806,julian fellows productions,movie.produced_by
1807,can you please search movies of tom cruise,movie.starring.actor
1808,find movies with tom cruise,movie.starring.actor
1809,find movies with tom cruise in them,movie.starring.actor
1810,in what movies tom cruise is,movie.starring.actor
1811,movies starring tom cruise,movie.starring.actor
1812,show me all movies tom cruise has been in,movie.starring.actor
1813,tom cruise movies,movie.starring.actor
1814,tom cruise movies,movie.starring.actor
1815,what movies has tom cruise been in,movie.starring.actor
1816,what movies has tom cruise starred in,movie.starring.actor
1817,find movies produced by george lucas,movie.produced_by
1818,find movies produced by george lucus,movie.produced_by
1819,give me a list of movies produced by george lucas,movie.produced_by
1820,give me a list of movies that george lucas produced,movie.produced_by
1821,locate all movies produced by george lucas,movie.produced_by
1822,list of dax shepard movies,movie.starring.actor
1823,yash chopra's movies,movie.directed_by
1824,find movies of yash chopra,movie.directed_by
1825,trouble with the curve was based on what,NO_REL
1826,what was the last film robert redford produced,movie.initial_release_date movie.produced_by
1827,movies about immigration,movie.subjects
1828,dawn of the dead movie information,NO_REL
1829,search the campaign movie,NO_REL
1830,show me information related to the film the campaign,NO_REL
1831,will you please show me info on the movie the campaign,NO_REL
1832,the campaign movie page,NO_REL
1833,i want to see info on the movie the campaign,NO_REL
1834,look up movie the campaign,NO_REL
1835,please show me info on the movie the campaign,NO_REL
1836,show me information for the movie the campaign,NO_REL
1837,tell me about the movie the campaign in detail,NO_REL
1838,can you show me details about the movie the campaign,NO_REL
1839,find movies about love,movie.subjects
1840,movies about nature,movie.subjects
1841,show me the comedy pitch perfect,movie.genre
1842,show me the movies produced by reliance,movie.production_companies
1843,which movies are family friendly,movie.rating
1844,can you get me a pg movie list,movie.rating
1845,find a pg rated movie,movie.rating
1846,find rated pg movies,movie.rating
1847,give me some good pg moives,movie.rating
1848,i am looking for movies that are rated pg for family movie night,movie.rating
1849,i need to see a list of pg movies,movie.rating
1850,i need to see all pg movies,movie.rating
1851,movies rated pg,movie.rating
1852,pg movies list please,movie.rating
1853,please show a list of recent movies rated pg,movie.rating
1854,show me movies rated pg,movie.rating
1855,bring up all pg movies,movie.rating
1856,find me pg movies,movie.rating
1857,find movies rated pg,movie.rating
1858,find movies that are pg,movie.rating
1859,i need movies with a pg rating,movie.rating
1860,i want to search for pg rated movies,movie.rating
1861,list movies rated pg,movie.rating
1862,movies with pg rating,movie.rating
1863,movies with pg rating,movie.rating
1864,pg movies,movie.rating
1865,show me pg rated movies,movie.rating
1866,show me the movies rating pg,movie.rating
1867,find movies with pg ratings only,movie.rating
1868,i want a list of pg rated movies,movie.rating
1869,i want to see movies that are rated pg,movie.rating
1870,only show movies rated pg,movie.rating
1871,please find pg rated movies,movie.rating
1872,search for movies with a pg rating,movie.rating
1873,search for movies with a pg rating,movie.rating
1874,show me all pg movies,movie.rating
1875,show me movies with pg rating,movie.rating
1876,show me movies with pg ratings,movie.rating
1877,show me pg movies,movie.rating
1878,get hungarian films,movie.country movie.language
1879,i want to watch a comedy made in hungary,movie.country movie.genre
1880,show me hungarian comedies,movie.country movie.language movie.genre
1881,what's the latest on brad pitt,movie.starring.actor movie.initial_release_date
1882,i'm looking for a jason cortlund movie,movie.directed_by
1883,show me the movie now forager,NO_REL
1884,what old movies are made by warner brothers,movie.production_companies movie.initial_release_date
1885,i want to look up alfred hitchcock movies,movie.directed_by
1886,find me movies made by alfred hitchcock,movie.directed_by
1887,i want to search for alfred hitchcock movies,movie.directed_by
1888,i would like to watch an alfred hitchcock movie,movie.directed_by
1889,show me some alfred hitchcock movies,movie.directed_by
1890,look up alfred hitchcock movies,movie.directed_by
1891,movies alfred hitchcock,movie.directed_by
1892,movies by alfred hitchcock,movie.directed_by
1893,movies by alfred hitchcock,movie.directed_by
1894,what movies has alfred hitchcock directed,movie.directed_by
1895,hitchcock movie list,movie.directed_by
1896,list hitchcock movies,movie.directed_by
1897,movie list hitchcock,movie.directed_by
1898,show me hitchcock movies,movie.directed_by
1899,hitchcock movie info,movie.directed_by
1900,hitchcock movies,movie.directed_by
1901,what movies did hitchcock direct,movie.directed_by
1902,show me the last five films for lionsgate,movie.production_companies movie.initial_release_date
1903,show me recent movies from lionsgate,movie.production_companies movie.initial_release_date
1904,what new movies does lionsgate have out,movie.production_companies movie.initial_release_date
1905,show me the movie vulgaria,NO_REL
1906,what recently released movies are rated r,movie.rating movie.initial_release_date
1907,get me a list of current r-rated movies,movie.rating movie.initial_release_date
1908,show a list of recent releases that are rated pg,movie.rating movie.initial_release_date
1909,what are some recent released pg movies,movie.rating movie.initial_release_date
1910,show recent movies rated pg,movie.rating movie.initial_release_date
1911,will you show me a list of recent movies rated pg,movie.rating movie.initial_release_date
1912,which current movies are rated pg,movie.rating movie.initial_release_date
1913,do you have anything by george cukor,movie.directed_by
1914,what was the first movie steven spielberg directed,movie.directed_by movie.initial_release_date
1915,did rob reiner direct any movies,movie.directed_by
1916,what was the highest making movie,movie.gross_revenue gr.amount
1917,show me high grossing movies,movie.gross_revenue gr.amount
1918,what movies made the most money,movie.gross_revenue gr.amount
1919,what are the top grossing movies,movie.gross_revenue gr.amount
1920,find the new will ferrell movie,movie.starring.actor movie.initial_release_date
1921,what are the three latest films with will ferrell,movie.starring.actor movie.initial_release_date
1922,what are recent films by will ferrell,movie.starring.actor movie.initial_release_date
1923,any new movies with eddie murphy,movie.starring.actor movie.initial_release_date
1924,i would like to look for movies about god,movie.subjects
1925,look up movies about god,movie.subjects
1926,i want to look for movies about god,movie.subjects
1927,please search for movies about god,movie.subjects
1928,watch ron howard's latest movie,movie.directed_by movie.initial_release_date
1929,find ron howard new movie,movie.directed_by movie.initial_release_date
1930,i need a list of movies produced by ray stark,movie.produced_by
1931,show me all movies produced by ray stark,movie.produced_by
1932,what movies has ray stark produced,movie.produced_by
1933,what movie has albert brooks done lately,movie.starring.actor movie.initial_release_date
1934,recent movies by steven spielberg,movie.directed_by movie.initial_release_date
1935,find sandra bullock's latest movie,movie.starring.actor movie.initial_release_date
1936,i am looking for movies directed by tom hanks,movie.directed_by
1937,find movies directed by tom hanks,movie.directed_by
1938,show me movies that tom hanks directed,movie.directed_by
1939,movies by tom hanks,movie.directed_by
1940,show me a list of all movies that were directed by tom hanks,movie.directed_by
1941,what movie made the least money,movie.gross_revenue gr.amount
1942,what has tom cruise acted in lately,movie.starring.actor movie.initial_release_date
1943,what new movies are playing with rating of pg thirteen,movie.rating movie.initial_release_date
1944,show me a list of movies that are new and rated pg-13,movie.rating movie.initial_release_date
1945,what pg-13 movies are currently showing,movie.rating movie.initial_release_date
1946,what other movies has will smith directed,movie.directed_by
1947,show me the latest movies in kannada,movie.language
1948,have any new movies by twentieth century fox,movie.production_companies movie.initial_release_date
1949,current movie suggestions,movie.initial_release_date
1950,show me new releases,movie.initial_release_date
1951,see ed harris last movie,movie.starring.actor movie.initial_release_date
1952,give me a list of recent horror films,movie.genre movie.initial_release_date
1953,show me movies in swedish,movie.language
1954,what was woody allen's last movie,movie.directed_by movie.initial_release_date
1955,about in july,NO_REL
1956,i want to go to the homepage for in july,NO_REL
1957,i want to view the page on in july,NO_REL
1958,i would like to see the main page of in july,NO_REL
1959,in july information,NO_REL
1960,summary of in july,NO_REL
1961,synopsis for in july,NO_REL
1962,was life is beautiful made in italy,movie.country
1963,current movies rated g,movie.rating movie.initial_release_date
1964,find all new releases that are rated g,movie.rating movie.initial_release_date
1965,can i have a list of movie production companies,NO_REL
1966,who is bruce willis,NO_REL
1967,producer,NO_REL
1968,i need a movie producer list,NO_REL
1969,can i have a list of producers,NO_REL
1970,find me info on emma watson,NO_REL
1971,show me more information about will smith,NO_REL
1972,will smith bio,NO_REL
1973,i need a list of actors,NO_REL
1974,search for actors,NO_REL
1975,find actors,NO_REL
1976,search movie actors,NO_REL
1977,movie actors,NO_REL
1978,display actors in movies,NO_REL
1979,show actors in movies,NO_REL
1980,display biography of actor will ferrell,NO_REL
1981,who is the actor will ferrell,NO_REL
1982,director,NO_REL
1983,find a director,NO_REL
1984,find directors,NO_REL
1985,search directors,NO_REL
1986,search directors,NO_REL
1987,movie directors,NO_REL
1988,give me a list of directors,NO_REL
1989,where can i find a director,NO_REL
1990,see bill paxton,NO_REL
1991,give me information about elizabeth mcgovern,NO_REL
1992,show me information on darla anderson,NO_REL
1993,can you give me more information about charles,NO_REL
1994,can you tell me more about the producer ray stark,NO_REL
1995,give me more details about the producer ray stark,NO_REL
1996,i need to know more about the producer ray stark,NO_REL
1997,show me more information about the producer ray stark,NO_REL
1998,show me information on shelly long,NO_REL
1999,i want to know about clint eastwood,NO_REL
2000,look for information about charles vidor,NO_REL
2001,search for information about charles vidor,NO_REL
2002,want to see charles vidor,NO_REL
2003,who is childs vidor,NO_REL
2004,find me more information on scorscese,NO_REL
2005,find the director andrew stanton,NO_REL
2006,who is andrew stanton,NO_REL
2007,see the olsen twins,NO_REL
2008,can you find more information on albert ruddy,NO_REL
2009,search for information about tom cruise,NO_REL
2010,find information about tom cruise,NO_REL
2011,look for information about tom cruise,NO_REL
2012,look up information about tom cruise,NO_REL
2013,all about will farrell please,NO_REL
2014,bio on will ferrell,NO_REL
2015,biography for will ferrell,NO_REL
2016,bring me to will ferrell informaion,NO_REL
2017,bring up a bio on will ferrell,NO_REL
2018,can you show me information on will ferrell please,NO_REL
2019,display all information on will ferrell,NO_REL
2020,get me bio info for will ferrell,NO_REL
2021,goto will ferrell biography,NO_REL
2022,i want information about will ferrell,NO_REL
2023,i want to see will ferrell details,NO_REL
2024,information about will ferrell,NO_REL
2025,look for will ferrell,NO_REL
2026,open a page about will ferrell,NO_REL
2027,please show me information on will ferrell,NO_REL
2028,search for will ferrell,NO_REL
2029,show me a bio of will ferrell,NO_REL
2030,show me will ferrell information,NO_REL
2031,show will ferrell information,NO_REL
2032,who is will ferrell,NO_REL
2033,who is will ferrell,NO_REL
2034,who is will ferrell,NO_REL
2035,will ferrell,NO_REL
2036,will ferrell history,NO_REL
2037,will ferrell tidbits,NO_REL
2038,will ferrell's biography,NO_REL
2039,please run a search on will ferrell and display all info returned,NO_REL
2040,what is terry georges background,NO_REL
2041,exhibit all relevant information about the director steven spielberg,NO_REL
2042,show me the bio for the director steven spielberg,NO_REL
2043,who is director steven spielberg,NO_REL
2044,show all relevant information about the director steven spielberg,NO_REL
2045,show biography for director steven spielberg,NO_REL
2046,find information about kristen stewart,NO_REL
2047,how do i find out information about kristen stewart,NO_REL
2048,learn more about kristen stewart,NO_REL
2049,who is kristen stewart,NO_REL
2050,information on julia roberts,NO_REL
2051,get me information about spielberg,NO_REL
2052,i want to know about spielberg,NO_REL
2053,i want to see spielberg's page,NO_REL
2054,pull up spielberg,NO_REL
2055,show me spielberg's info,NO_REL
2056,show me spielberg's main page,NO_REL
2057,show me the profile of spielberg,NO_REL
2058,show my spielberg info,NO_REL
2059,find me stats about steven spielberg,NO_REL
2060,i need details steven spielberg now,NO_REL
2061,search for steven spielberg,NO_REL
2062,show me the information for steven spielberg,NO_REL
2063,stephen spielberg biography,NO_REL
2064,steven spielberg,NO_REL
2065,steven spielberg bio,NO_REL
2066,steven spielberg profile page,NO_REL
2067,what about steven spielberg,NO_REL
2068,who is steven spielberg,NO_REL
2069,find info on tom hanks,NO_REL
2070,show me information on tom hanks,NO_REL
2071,show tom hanks,NO_REL
2072,information for sally field,NO_REL
2073,sergio leone,NO_REL
2074,i need information on sean connery,NO_REL
2075,tell me about michelle pfiefer,NO_REL
2076,i want to learn about charlie sheen,NO_REL
2077,find information about robert wise,NO_REL
2078,robert wise life,NO_REL
2079,search for information about robert wise,NO_REL
2080,director's profiles: hitchcock,NO_REL
2081,warner brothers bio,NO_REL
2082,alfred hitchcock,NO_REL
2083,who is hitchcock,NO_REL
2084,information for clark gable,NO_REL
2085,i want information about angelina jolie,NO_REL
2086,i want more information on richard lester,NO_REL
2087,information for vivian lee,NO_REL
2088,name the producer of the godfather,movie.produced_by
2089,what is the name of the company that produced sparkle,movie.produced_by
2090,what is the name of the company that produced the movie ants,movie.production_companies
2091,show me the name of the producer of the movie avatar,movie.produced_by
2092,can you show me the name of the producer for cabin in the woods,movie.produced_by
2093,what is the name of the company that produced the movie avatar,movie.production_companies
2094,please provide the name of the company that produced sparkle,movie.production_companies
2095,what is the name of the company that produced the movie inception,movie.production_companies
2096,hitch list producer,movie.produced_by
2097,i want info on how produced hitch,movie.produced_by
2098,who are the producers for the movie hitch,movie.produced_by
2099,who is the producer for hitch,movie.produced_by
2100,who produced hitch,movie.produced_by
2101,who produced hitch,movie.produced_by
2102,who produced hitch,movie.produced_by
2103,who was the producer for the movie hitch,movie.produced_by
2104,info hitch producer,movie.produced_by
2105,what production company was responsible for the film the devil wears prada,movie.production_companies
2106,what company produced secretariat,movie.production_companies
2107,what company produced the movie field of dreams,movie.production_companies
2108,what company produced jurassic park,movie.production_companies
2109,company that produced iron man,movie.production_companies
2110,what company produced cabin in the woods,movie.production_companies
2111,production company for spiderman,movie.production_companies
2112,who produced cabin in the woods,movie.produced_by
2113,what was the production company for black swan,movie.production_companies
2114,get me the think like a man movie producer,movie.produced_by
2115,who produced cars,movie.produced_by
2116,who produced cars,movie.produced_by
2117,who produced the movie cars,movie.produced_by
2118,who produced steel magnolias,movie.produced_by
2119,who produces steel magnolias,movie.produced_by
2120,name of producer for ghost busters,movie.produced_by
2121,who produced et,movie.produced_by
2122,who was the producer for elizabeth,movie.produced_by
2123,please show me who produces madagascar,movie.produced_by
2124,look for the producer of heroine,movie.produced_by
2125,producer of heroine,movie.produced_by
2126,can you find the producer of heroine,movie.produced_by
2127,can you tell me who produced the movie avatar,movie.produced_by
2128,i need to know the movie avatar's producer name,movie.produced_by
2129,i need to know who produced the movie avatar,movie.produced_by
2130,please tell me who produce the avatar,movie.produced_by
2131,producer of avatar,movie.produced_by
2132,who is the producer of avatar,movie.produced_by
2133,who produce the avatar,movie.produced_by
2134,who produced avatar,movie.produced_by
2135,who produced avatar,movie.produced_by
2136,who produced avatar,movie.produced_by
2137,who produced avatar,movie.produced_by
2138,who produced avatar with james cameron,movie.produced_by
2139,who is listed as producer of grease,movie.produced_by
2140,who is the producer of grease,movie.produced_by
2141,browse lionsgate information,NO_REL
2142,display production company lionsgate,NO_REL
2143,get info on lionsgate,NO_REL
2144,goto lionsgate,NO_REL
2145,i would like more information about lionsgate,NO_REL
2146,look for information about lionsgate,NO_REL
2147,see lionsgate info,NO_REL
2148,show lionsgate,NO_REL
2149,company that produced the avengers,movie.production_companies
2150,show who produced black swan,movie.produced_by
2151,who produced black swan,movie.produced_by
2152,who produced spaceballs,movie.produced_by
2153,find the producer of the godfather,movie.produced_by
2154,show me the producer of the godfather,movie.produced_by
2155,who is the producer of the godfather,movie.produced_by
2156,who produced the godfather,movie.produced_by
2157,who produced the godfather,movie.produced_by
2158,who produced the godfather,movie.produced_by
2159,who produced the godfather movies,movie.produced_by
2160,producer for slumdog millionaire,movie.produced_by
2161,company that produced thor,movie.production_companies
2162,what company produced days of thunder,movie.production_companies
2163,i want to look for information about paramount studios,NO_REL
2164,look for information about paramount studios,NO_REL
2165,what is the history behind paramount,NO_REL
2166,look at paramount,NO_REL
2167,who produced hotel rwanda,movie.produced_by
2168,who produced the movie hotel rwanda,movie.produced_by
2169,who produced titanic,movie.produced_by
2170,company that produced twilight,movie.production_companies
2171,producer for ms. congeniality,movie.produced_by
2172,who produced top gun,movie.produced_by
2173,what production company produced the movie avatar,movie.production_companies
2174,what studio made the dark knight,movie.production_companies
2175,what company produced the hangover,movie.production_companies
2176,who produced the devil wears prada,movie.produced_by
2177,i d like to know who the producer of the terminator is,movie.produced_by
2178,i wonder who produced the terminator,movie.produced_by
2179,who is the producer of the terminator,movie.produced_by
2180,find producer of the great debaters,movie.produced_by
2181,who produced the great debaters,movie.produced_by
2182,who produced the movie twilight,movie.produced_by
2183,production company for the hulk,movie.production_companies
2184,can i see who produced possesion,movie.produced_by
2185,who produced possesion,movie.produced_by
2186,find the producer of moby dick,movie.produced_by
2187,producer for the passion of the christ,movie.produced_by
2188,who produced what to expect when you're expecting,movie.produced_by
2189,what company is the producer of inception,movie.produced_by
2190,who produced the movie the dark knight,movie.produced_by
2191,who produced lion king,movie.produced_by
2192,i would like to find the producers of the lion king,movie.produced_by
2193,what company produced sparkle,movie.production_companies
2194,which company produced the terminator,movie.production_companies
2195,who produced casino royale,movie.produced_by
2196,search mgm studios,NO_REL
2197,who was the producer for the amazing spiderman,movie.produced_by
2198,in the movie ants who is the producer,movie.produced_by
2199,the movie ants was produced by what person,movie.produced_by
2200,the producers for the movie ants,movie.produced_by
2201,who is the producer for the movie ants,movie.produced_by
2202,find the producer of gone with the wind,movie.produced_by
2203,producer for gone with the wind,movie.produced_by
2204,who produced the movie gone with the wind,movie.produced_by
2205,who produced the movie,movie.produced_by
2206,who produced the movie,movie.produced_by
2207,who produced this movie,movie.produced_by
2208,search for the producer of mirror,movie.produced_by
2209,who was mirror s producer,movie.produced_by
2210,person produced the blind side,movie.produced_by
2211,who was the producer for coming to america,movie.produced_by
2212,search for the producer of step up,movie.produced_by
2213,goto warner brothers,NO_REL
2214,pixar film studio,NO_REL
2215,look up the producer of freedom writers,movie.produced_by
2216,who produced godfather,movie.produced_by
2217,who produced the godfather,movie.produced_by
2218,show producers who work for miramax,movie.production_companies movie.produced_by
2219,what type of audience can watch cars,movie.rating
2220,is toy story for kids,movie.rating
2221,rating of movie,movie.rating
2222,what is movie rated,movie.rating
2223,show me the film rating,movie.rating
2224,is this movie suitable for small children,movie.rating
2225,show me the rating for the movie,movie.rating
2226,what is the mpaa rating for movie,movie.rating
2227,what is the reccommended audience for movie,movie.rating
2228,can i see this film rating,movie.rating
2229,what is the parental rating on this movie,movie.rating
2230,what is the rating of movie,movie.rating
2231,movie rating,movie.rating
2232,what rating did the dark knight rises receive,movie.rating
2233,what is the rating for dark knight,movie.rating
2234,rating for dark knight,movie.rating
2235,can you tell me whats the rating of movie avatar,movie.rating
2236,i need to know the rating of the movie avatar,movie.rating
2237,show me the rating of the movie avatar,movie.rating
2238,what is the rating for the movie ants,movie.rating
2239,is hotel transylavania good for adults,movie.rating
2240,show me the rating for the movie the lord of rings,movie.rating
2241,what age is marley and me appropriate,movie.rating
2242,how old should a person be to watch marley and me,movie.rating
2243,what age is appropriate to watch marley and me,movie.rating
2244,what rating is superman,movie.rating
2245,rating for transylvania,movie.rating
2246,tell me the rating of the movie grease,movie.rating
2247,what is grease rated,movie.rating
2248,tell me the rating of the film grease,movie.rating
2249,what is the appropriate age for clueless,movie.rating
2250,what is the rating of dirty dancing,movie.rating
2251,what is the rating for dirty dancing,movie.rating
2252,what rating is freedom writers,movie.rating
2253,what is the rating for house at the end of the street,movie.rating
2254,what ratings does the house at the end of the street hold,movie.rating
2255,is it appropriate to take my 16 year old to see land of the lost,movie.rating
2256,is the movie life is beautiful ok for my six year old to watch,movie.rating
2257,find the rating of the movie step up,movie.rating
2258,rating for the green hornet,movie.rating
2259,show me the film rating for avengers,movie.rating
2260,show rating for the film avengers,movie.rating
2261,show rating of movie avengers,movie.rating
2262,what is the rating for the avenger movie,movie.rating
2263,rating for the avengers,movie.rating
2264,what is jurassic park rated,movie.rating
2265,list movie ratings for us movie looper,movie.country movie.rating
2266,show movie ratings for us movie looper,movie.country movie.rating
2267,what audience will watch black swan,movie.rating
2268,how is a good man in africa's rating,movie.rating
2269,can i take my 13 year old to see american pie,movie.rating
2270,how old for black swan,movie.rating
2271,what age is black swan appropriate for,movie.rating
2272,can you tell me the rating for cabin in the woods,movie.rating
2273,i would like to know the rating for cabin in the woods,movie.rating
2274,kindly show me the rating for cabin in the woods,movie.rating
2275,show me the rating for cabin in the woods,movie.rating
2276,rating for resident evil,movie.rating
2277,show me the rating for the movie romeo must die,movie.rating
2278,what's the rating for satyricon,movie.rating
2279,what restrictions does the campaign film have for viewers,movie.rating
2280,what is the rating for the movie the campaign,movie.rating
2281,show me the rating for the movie the expendables 2,movie.rating
2282,show me the rating for the movie the mechanic,movie.rating
2283,can you find out what the movie dredd is rated,movie.rating
2284,look up the rating for the movie dredd,movie.rating
2285,search for the rating of the movie dredd,movie.rating
2286,what is the movie rating for die hard,movie.rating
2287,twilight revenue,movie.gross_revenue
2288,what was the gross profit for twilight,movie.gross_revenue
2289,how much did et gross worldwide,movie.gross_revenue
2290,what did et gross,movie.gross_revenue
2291,what were et's revenues,movie.gross_revenue
2292,can you tell me about the revenue generated by the movie avatar,movie.gross_revenue
2293,how much money did avatar make,movie.gross_revenue
2294,how much revenue did the movie avatar generate,movie.gross_revenue
2295,tell me about the revenue generated by the movie avatar,movie.gross_revenue
2296,how much money did pretty woman take in,movie.gross_revenue
2297,revenue for pretty woman,movie.gross_revenue
2298,gross earnings for avengers movie,movie.gross_revenue
2299,ticket sales for the movie avengers,movie.gross_revenue
2300,what was the gross earnings for the avengers movie,movie.gross_revenue
2301,how much revenue did the avengers take it,movie.gross_revenue
2302,what were the gross receipts for the avengers,movie.gross_revenue
2303,can you give me the revenue of the movie titanic,movie.gross_revenue
2304,how much revenue did titanic make,movie.gross_revenue
2305,profits made by titanic,movie.gross_revenue
2306,revenue for titanic,movie.gross_revenue
2307,revenue for titanic,movie.gross_revenue
2308,total titanic revenues,movie.gross_revenue
2309,what was the revenue for toy story 3,movie.gross_revenue
2310,dark knight revenue,movie.gross_revenue
2311,how much did the dark night generate,movie.gross_revenue
2312,can i see the lion king's revenue,movie.gross_revenue
2313,can i see what the lion king's revenue was,movie.gross_revenue
2314,show me the lion king's revenue,movie.gross_revenue
2315,what was the lion king's revenue,movie.gross_revenue
2316,how much did jurassic park make,movie.gross_revenue
2317,how much money did finding nemo make,movie.gross_revenue
2318,what did the movie finding nemo gross,movie.gross_revenue
2319,how much did the transformers make in revenues,movie.gross_revenue
2320,revenue for transformers,movie.gross_revenue
2321,how many minutes is finding nemo,rt.runtime movie.runtime
2322,how many minutes is in july,rt.runtime movie.runtime
2323,how many minutes is star wars four,rt.runtime movie.runtime
2324,what is the length of the sound of music,rt.runtime movie.runtime
2325,how long is the movie,rt.runtime movie.runtime
